name,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
Centre Educatiu Thau,425195.6050475672,4582176.405836956,41.38764005512567,2.10528876791072
Ateneu  Sant Andreu,431932.2755728162,4587089.595354554,41.4324898639079,2.1853030314588358
Jardins d'Elvira Farreras Valentí,428373.250699072,4584345.443367382,41.407464947326254,2.1430348062786257
Casal de Barri Font d'en Fargues,430247.9471045558,4586200.03567975,41.424333431530485,2.1652481090205704
Associació Rambla de Catalunya,430073.385,4582475.68,41.39077433577668,2.163589599574425
Fàbrica de Creació Graner,427732.32301909727,4579250.985946766,41.36152379729631,2.1359750197791345
Escola Mossèn Jacint Verdaguer,429321.6782846101,4580545.116646332,41.37332070884572,2.154824350891146
Centre Esportiu Municipal Putxet,428230.39803281566,4584598.12887321,41.40972803896788,2.141295887779283
Universitat de Barcelona,430105.756355228,4582009.3515178105,41.38657708352391,2.164030568391206
Funicular Vallvidrera - FGC,425281.0395619205,4585127.656071869,41.41422846437415,2.1059462512020857
Funicular Tibidabo - Cuca de Llum,427411.60727105,4585337.14516173,41.41631050210694,2.131411684356236
Tramvia Blau Tibidabo-TMB,427874.0784737611,4584691.231889636,41.41053468316915,2.137021984976944
Sala El Molino,430363.9031219597,4580675.501589779,41.37458590109832,2.167271088906495
Institut Nacional d'Educació Física de Catalunya *Barcelona,428651.4229885859,4579669.43805554,41.36537462912623,2.146913285556539
Col·legi Oficial de Metges de Barcelona,427225.1209266232,4583998.409506439,41.404236241777,2.129341454867993
Velodrom Municipal d'Horta Miquel Poblet,428953.9993615192,4587645.373327871,41.43723757663772,2.1495946440435265
Restaurant Can Travi Nou,429017.6758804242,4586996.297664727,41.43139726568915,2.150432990990598
Parròquia de la Santíssima Trinitat,432383.32079860166,4589064.645207687,41.45031653850258,2.1904799871347125
Poble Espanyol de Barcelona,428641.3109980409,4580088.501961428,41.36914809976752,2.1467430809493484
Casal Sant Jordi,430719.41932563,4582321.963593714,41.38944576760637,2.1713337865477698
Mercat Boqueria - Sant Josep,430789.9118095357,4581500.025629077,41.38204889437501,2.17227075910574
Mercat Santa Caterina,431288.34786604624,4581977.8100680085,41.38639488164491,2.1781771121189712
Mercat Hostafrancs,428406.2821413866,4580758.575369845,41.37516234439833,2.143853943380838
Casa Bonaventura Ferrer,429652.8555154229,4583168.36111602,41.39697639977114,2.158479593916247
Mercat Sants,427561.2693668048,4580720.238564051,41.37474144032811,2.133754628418325
Hospital del Mar,432665.3945483664,4581636.097679799,41.38343360981442,2.1946836219941206
Club Natació Atlètic - Barceloneta,432153.4277483676,4580531.784356736,41.37344433423628,2.1886847497193758
Centre Comercial Arenas de Barcelona,428919.128134815,4580850.788577912,41.376038338441205,2.1499752959539173
Museu del Modernisme de Barcelona,430055.7567873723,4582268.565978099,41.38890739636273,2.163402681362388
Parròquia de la Mare de Déu de la Mercè i Sant Miquel Arcàngel - Basílica,431398.33895484527,4581202.933652775,41.37942517988621,2.1795802549065177
Institut Français de Barcelone,429092.262001278,4582985.8647791855,41.39528348612812,2.1517956248758305
